year,total_biomass,water_adequacy,drought
0,0.42,,
1,0.6230872434101185,1.0323939175780654,0
2,0.8081162555013891,0.9337126303572839,0
3,1.0063494953744843,1.0343899764358895,0
4,1.0545069571504908,0.8173212525788752,0
5,1.1616738563111029,0.9851472682659601,0
6,1.1441997738360115,0.8039895039710495,0
7,1.1691887348391727,0.8738100977001076,0
8,1.119736710673148,0.7046238296957233,0
9,1.2154652686027134,1.0151900160958627,0
10,0.9821395001606793,0.17267780737544147,1
11,1.0310357375710606,0.717738687960652,1
12,1.0787019231926998,0.7617519242020667,1
13,1.1053336379068703,0.7462060723933982,0
14,1.2125148468615952,1.0598222853121886,0
15,1.2696015880919336,1.0331497891983965,0
16,1.2146726955359168,0.751633500406977,1
17,1.2281729958172998,0.8834513961403653,0
18,1.1180998972289635,0.4792981531290226,1
19,1.163536126876931,0.85318167430515,0
20,1.2562650642151358,1.15,0
21,1.209890256960975,0.7424287271988688,0
22,1.1988341630774204,0.788287401273226,0
23,1.2202962572893774,0.885066661043842,0
24,1.2295666181705207,0.8750629248740242,0
25,1.273847804162066,1.020269672981191,0
26,1.300395504964888,1.04282850827592,0
27,1.2804156285750723,0.9017947337441236,0
28,1.2879727881938798,0.9597842776789477,0
29,1.2855947687170488,0.9382967906885945,0
30,1.309137920886465,1.05604129651495,0
31,1.3278517627927802,1.135487453299792,0
32,1.3312555510544337,1.070800416686083,0
33,1.3375942863688652,1.1291737029419135,0
34,1.3082998015656453,0.9294680749075185,0
35,1.1255811518771737,0.33560342425992185,1
36,1.173718104232485,0.8642974437217036,0
37,1.1939645704040784,0.8342317356571647,0
38,1.2136988975422094,0.8633783292422659,1
39,1.232096200890867,0.8891021390349607,0
40,1.1791240991644085,0.6553735828863014,0
41,1.2452099020331158,1.0161712806571768,0
42,1.1971441740163067,0.6944879507288308,1
43,1.2615324858137613,1.060318411677769,0
44,1.2646313590684493,0.9100587449830738,0
45,1.2939423566194261,1.0146460938507171,0
46,1.2947640582957218,0.9531197897158452,0
47,1.2968900615079064,0.9575654804623918,0
48,1.2381854736289104,0.7474621974152724,0
49,1.2973786381939125,1.15,0
50,1.3158308856607952,1.0461821888806693,0
51,1.3183656111838904,0.9899214353893224,0
52,1.3247329764322417,1.0188003030726904,0
53,1.1868275881920687,0.5101781186866083,1
54,1.2725822710287875,1.15,0
55,1.2678663486463624,0.8927111165928054,0
56,1.2414194402904866,0.8075657305331738,0
57,1.2975349950568114,1.125666086771426,0
58,1.313862016275819,1.0108121155620644,0
59,1.3004824542056974,0.9299073552587295,0
60,1.2485762910098148,0.7733917982225119,0
61,1.2366164470101273,0.8242792911218655,1
62,1.210365825713834,0.7508737657739306,1
63,1.2209357434425734,0.8415461203921362,0
64,1.2696141449051024,0.9946339173934371,0
65,1.1822986018086172,0.5744564687412945,1
66,1.2150151323747074,0.8783298659331982,0
67,1.2838573807638143,1.1281276590875047,0
68,1.181185265124018,0.5337545306642422,1
69,1.2479200215825565,1.0087894328560072,0
70,1.2699699286171946,0.9435661126934491,0
71,1.2502446482312928,0.8263081920828141,0
72,1.1642398899267052,0.525292008345372,1
73,1.174946875379388,0.7581681756735796,0
74,1.026064801855059,0.03,1
75,1.156206829956837,1.0885753886782077,0
76,1.1911397763525198,0.85045819897455,1
77,1.2338501797575057,0.9428276208695806,0
78,1.2645184987339155,0.9638598570386081,1
79,1.284706679358116,0.9722161245063137,0
80,1.3109764547464213,1.0715629017259016,0
81,1.2448151854426168,0.7130945618054592,0
82,1.2701907194959694,0.9498699553216469,0
83,1.2609698824806965,0.858628832125659,0
84,1.2792810329154973,0.9471374068468656,0
85,1.2677909753049144,0.8642394599847735,1
86,1.3144915516576525,1.15,0
87,1.1602709235412643,0.3508740512969124,1
88,1.1083675816087861,0.4537818580108577,1
89,1.166532218092447,0.8566931980417558,1
90,1.2403250255389215,1.0274115705247522,0
91,1.251196544935729,0.881986381430027,0
92,1.2470177532386684,0.8391218680299334,1
93,1.2521450561394973,0.8682457339291417,0
94,1.249210448974501,0.8438200421299249,1
95,1.3048673820440353,1.15,0
96,1.315757964310527,0.9906967229378016,0
97,1.2798238531909119,0.8303159123287949,0
98,1.2854691158925589,0.9221353464597021,0
99,1.3253387515995707,1.15,0
100,1.3016396357731121,0.892552226577884,0
101,1.3260784737650344,1.0694007351657766,0
102,1.3391971870660357,1.0784623265298878,0
103,1.2226021895026586,0.5644075183579564,1
104,1.2828457264145123,1.0453508286496154,0
105,1.2822766657607585,0.8979982797597271,0
106,1.3119141345744638,1.0150757300077462,0
107,1.34038856623674,1.15,0
108,1.3419048229615254,1.0129085409940084,0
109,1.2653958914222556,0.7277614613242018,1
110,1.2756360787042362,0.9047316090988986,0
111,1.2135948152365668,0.6511783450403219,1
112,1.2428326329268518,0.8888282476842215,0
113,1.3020084630024877,1.1000019288427294,0
114,1.096382985068051,0.08617143759352008,1
115,1.0628336324746934,0.39408977340671636,1
116,1.1573056050415276,0.9354703276072925,0
117,1.2255230943076514,0.9663882385957623,0
118,1.2552242440105272,0.9202250377046922,0
119,1.3028913695181878,1.0896386546602184,0
120,1.297621993757302,0.9174829212299863,0
